eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85114676300,10.1016/j.resconrec.2021.105827,S0921344921004365,,Circular economy of façades: Real-world challenges and opportunities,ar,Article,Hartwell R.,60111501;60031101;60006288,Queens' College;University of Cambridge;Delft University of Technology,Cambridge;Cambridge;Delft,United Kingdom;United Kingdom;Netherlands,3,"Hartwell, Rebecca;Macmillan, Sebastian;Overend, Mauro",57254354400;7004530178;17346471100,60111501;60031101;60006288,2021-12-01,December 2021,"Resources, Conservation and Recycling",09213449,26424,18790658,Journal,175,,105827,,"Reuse and high-value recycling have a pivotal role to play in reducing waste and minimising carbon emissions in the built environment. Design strategies for such recovery methods have yet to be fully established in the façade industry. Meanwhile, stringent regulations, aimed at reducing operational carbon emissions of buildings and improving other performance criteria such as occupant safety, have stimulated the use of more complex façade systems that incorporate multiple functions. Other areas of the façade life cycle, such as embodied carbon and high-value material recovery, are rarely considered at the early design stage. This study adopts a mixed-method approach of data collection, to investigate the key challenges and opportunities associated with promoting high-value recovery options for façade products, as perceived by stakeholders in the façade supply-chain. Data was initially collected through an online survey completed by 69 stakeholders from across the façade knowledge/supply-chain. This was followed by 29 semi-structured interviews with selected survey respondents. It emerged that the advancement of circular design strategies is dependent on: increased awareness and quantification of the environmental value of circular design; cross-supply-chain buy-in on developments in take-back infrastructure including greater support for demolition contractors; and advancements in technological separation methods specific to façade components. Enhanced communication between stakeholders - notably between clients, facade contractors and material processors - acceptability criteria and product availability; and more holistic legislation based on whole life cycle emissions, to avoid the over-emphasis on operational efficiency, appear as vital requisites to increasing material efficiency. Finally, we illustrate where stakeholder priorities related to reuse converge and diverge, and thus we identify strategies for levering these factors to minimise environmental impact and optimise economic value in the façade sector.",Circular economy | Design-for-disassembly | Embodied carbon | End-of-life | Façades | Recycling | Reuse,14,0,repositoryvor,Green,EPSRC,EP/L016095/1,Engineering and Physical Sciences Research Council
2-s2.0-85103904122,10.1186/s13021-021-00171-w,,,Wood product carbon substitution benefits: a critical review of assumptions,re,Review,Howard C.,60079205;60025858;60005522;60003122,Ministry of Forests and Range;ETH Zürich;Canadian Forest Service;University of Victoria,"Victoria;Zurich ZH,;Ottawa;Victoria",Canada;Switzerland;Canada;Canada,5,"Howard, Christina;Dymond, Caren C.;Griess, Verena C.;Tolkien-Spurr, Darius;van Kooten, G. Cornelis",57222735967;6603106430;36105066800;57222734979;7003706390,60005522;60079205;60025858;60079205;60003122,2021-12-01,December 2021,Carbon Balance and Management,,5800179606,17500680,Journal,16,1,9,,"Background: There are high estimates of the potential climate change mitigation opportunity of using wood products. A significant part of those estimates depends on long-lived wood products in the construction sector replacing concrete, steel, and other non-renewable goods. Often the climate change mitigation benefits of this substitution are presented and quantified in the form of displacement factors. A displacement factor is numerically quantified as the reduction in emissions achieved per unit of wood used, representing the efficiency of biomass in decreasing greenhouse gas emissions. The substitution benefit for a given wood use scenario is then represented as the estimated change in emissions from baseline in a study’s modelling framework. The purpose of this review is to identify and assess the central economic and technical assumptions underlying forest carbon accounting and life cycle assessments that use displacement factors or similar simple methods. Main text: Four assumptions in the way displacement factors are employed are analyzed: (1) changes in harvest or production rates will lead to a corresponding change in consumption of wood products, (2) wood building products are substitutable for concrete and steel, (3) the same mix of products could be produced from increased harvest rates, and (4) there are no market responses to increased wood use. Conclusions: After outlining these assumptions, we conclude suggesting that many studies assessing forest management or products for climate change mitigation depend on a suite of assumptions that the literature either does not support or only partially supports. Therefore, we encourage the research community to develop a more sophisticated model of the building sectors and their products. In the meantime, recognizing these assumptions has allowed us to identify some structural, production, and policy-based changes to the construction industry that could help realize the climate change mitigation potential of wood products.",Climate change mitigation | Displacement factor | Long-lived wood products | Substitution benefit,32,1,repositoryvor,Green,"CBR, CBR-UBC",undefined,"Faculty of Medicine, University of British Columbia"
2-s2.0-85120898040,10.1088/1742-6596/2042/1/012168,,,Should biogenic carbon be analysed separately in the calculation of the GWP indicator?,cp,Conference Paper,Hoxha E.,60019663,Technische Universitat Graz,Graz,Austria,2,"Hoxha, Endrit;Passer, Alexander",55936638500;53875067300,60019663;60019663,2021-11-18,18 November 2021,Journal of Physics: Conference Series,17426588,130053,17426596,Conference Proceeding,2042,1,012168,,"The life cycle assessment method is widely accepted for calculating the environmental impacts of buildings. However, the approaches used to translate greenhouse gas emissions to a global warming potential score are largely criticised. By following a static approach (known as 0/0) and a time-dependent approach (known as dynamic) in this paper, we assessed the environmental impacts of two buildings with structures made of reinforced concrete and wood, respectively. The relative difference between the results calculated with the 0/0 approach and the time-dependent approach were larger for the building with the wooden structure. A more detailed analysis identified biogenic carbon as the source that was most responsible for this difference in results. For this reason, biogenic carbon should be treated separately and must be calculated with the time-dependent approach. Meanwhile, the impacts from fossil energy sources should be calculated with the 0/0 approach.",,1,1,publisherfree2read,Bronze,FFG,864142,Klima- und Energiefonds
2-s2.0-85114028947,10.1016/j.enbuild.2021.111340,S0378778821006241,,Quantification of uncertainty in product stage embodied carbon calculations for buildings,ar,Article,Marsh E.,60120016;60030480,Department of Engineering;University of Bath,Cambridge;Bath,United Kingdom;United Kingdom,3,"Marsh, Ellen;Orr, John;Ibell, Tim",57240813700;36802567000;58133509600,60120016;60120016;60030480,2021-11-15,15 November 2021,Energy and Buildings,03787788,29359,,Journal,251,,111340,,"Decarbonisation of the energy industry and enforcement of strict targets for operational energy consumption means that non-operational greenhouse gases (GHG) emissions, also known as embodied carbon (EC), will soon represent the majority of whole life carbon associated with buildings. EC assessments are often presented as deterministic, single-point values but contain a high degree of variability which is typically unacknowledged. Common sources of uncertainty are variability, data gaps, measurement error and epistemic uncertainty such as absence of detailed material specification (e.g. manufacturer, concrete mix, recycled content etc). Particularly during early design stages when such information is unconfirmed, average material data is used by necessity. While some material databases and LCA software can provide ranges of embodied carbon coefficients (ECC) between some materials and/or the uncertainty within individual manufacturers’ carbon data, the practice of reporting this is uncommon and has limited practicality for whole building assessments. This paper presents a simple procedure that selects the highest impact materials of the EC of an asset and implements a Monte-Carlo simulation to estimate the uncertainty behind the product stage EC assessment. Material coefficients of variation (CoV) are obtained from database values where available, and interpolated values are used in the absence of such data. A product stage EC assessment of a UK educational building, initially undertaken using single data points for each material, gave an EC prediction of 525 kgCO2e/m2 GIFA. Two scenarios were then assessed using our proposed procedure: 1) the full building scope and 2) substructure and superstructure only. It was demonstrated that, for scenario one, the EC can range from 50 to 140% of the original result when considering the extreme results from the Monte-Carlo simulation. Scenario one (considering the full building scope) resulted in an average EC value (mean ± CoV) of 526 kgCO2e/m2 GIFA ± 10.0%. The second scenario (sub- and super-structure only) resulted in an average EC value of 312 kgCO2e/m2 GIFA ± 11.9% with a full range of 45–155% of the original result. This paper shows that a straightforward uncertainty analysis procedure can support designers in understanding the possible range of asset product-stage EC and, therefore, inform construction product selections at an early stage where detailed information is not known. The variation also gives a degree of confidence/caution in the average EC prediction in lieu of a single-point result. The construction product CoV results can be used to set target ECCs on projects to help ensure reliable low-carbon products are specified. If these target ECCs were met, a minimum of 29% and 33% (excl. EPD uncertainty) in product stage EC reductions could be achieved. Future work should extend this method to include additional life cycle assessment (LCA) stages and other uncertainty factors. And, the method could be applied to comparative life cycle assessments and optioneering exercises, as well as including more specific construction product variability data.",Carbon mitigation | Embodied carbon | Embodied carbon coefficients | Environmental impact of buildings | LCA (life cycle assessment) | Uncertainty analysis,8,0,repositoryam,Green,,undefined,
2-s2.0-85098222124,10.1108/ECAM-06-2020-0450,,,Environmental impacts cost assessment model of residential building using an artificial neural network,ar,Article,Hamida A.,60118232;60104334,Faculteit Bouwkunde van de TU Delft;Imam Abdulrahman Bin Faisal university,Delft;Dammam,Netherlands;Saudi Arabia,4,"Hamida, Amneh;Alsudairi, Abdulsalam;Alshaibani, Khalid;Alshamrani, Othman",57221108517;56979349100;57035332800;35241947900,60118232;60104334;60104334;60104334,2021-11-04,4 November 2021,"Engineering, Construction and Architectural Management",09699988,15249,,Journal,28,10,,3190-3215,"Purpose: Buildings are major contributors to greenhouse gases (GHG) along the various stages of the building life cycle. A range of tools have been utilised for estimating building energy use and environmental impacts; these are time-consuming and require massive data that are not necessarily available during early design stages. Therefore, this study aimed to develop an Environmental Impacts Cost Assessment Model (EICAM) that quantifies both energy and environmental costs for residential buildings. Design/methodology/approach: An Artificial Neural Network (ANN) was employed to develop the EICAM. The model consists of six input parameters, including wall type, roof type, glazing type, window to wall ratio (WWR), shading device and building orientation. In addition, the model calculates four measures: annual energy cost, operational carbon over 20 years, envelope embodied carbon and total carbon per square metre. The ANN architecture is 6:13:4:4, where the conjugate gradient algorithm was applied to train the model and minimise the mean squared error (MSE). Furthermore, regression analysis for the ANN prediction for each output was performed. Findings: The MSE was minimised to 0.016 while training the model. Also, the correlation between each ANN output and the actual output was very strong, with an R2 value for each output of almost 0.998. Moreover, validation was conducted for each output, with the error percentages calculated at 0.26%, 0.25%, 0.03% and 0.27% for the annual energy cost, operational carbon, envelope materials embodied carbon and total carbon per square metre, respectively. Accordingly, the EICAM contributes to enhancing design decision-making concerning energy consumption and carbon emissions in the early design stages. Research limitations/implications: This study provides theoretical implications to the domain of building environmental impact assessment through illustrating a systematic approach for developing an energy-based prediction model that generates four environmental-oriented outputs, namely energy cost, operational energy carbon, envelope embodied carbon, and total carbon. The model developed has practical implications for the architectural/engineering (A/E) industries by providing a useful tool to easily predict environmental impact costs during the early design phase. This would enable designers in Saudi Arabia to make effective design decisions that would increase sustainability in the building life cycle. Originality/value: By providing a holistic predictive model entitled EICAM, this study endeavours to bridge the gap between energy costs and environmental impacts in a predictive model for Saudi residential units. The novelty of this model is that it is an alternative tool that quantifies both energy cost, as well as building’s environmental impact, in one model by using a machine learning approach. Besides, EICAM predicts its outcomes more quickly than conventional tools such as DesignBuilder and is reliable for predicting accurate environmental impact costs during early design stages.",Artificial neural networks | Building envelope | Embodied carbon | Energy cost | Operational carbon,6,0,,,UOD,undefined,University of Dammam
2-s2.0-85119600281,10.3390/f12111571,,,Environmental impact of a mass timber building—a case study,ar,Article,Vanova R.,60013853,Technical University in Zvolen,Zvolen,Slovakia,4,"Vanova, Rozalia;Stompf, Patrik;Stefko, Jozef;Stefkova, Jaroslava",57224739696;57226181629;55597413600;57200447922,60013853;60013853;60013853;60013853,2021-11-01,November 2021,Forests,,21100219934,19994907,Journal,12,11,1571,,"The study focuses on a life cycle assessment of a wood-based residential building and evaluates the magnitude of individual construction components—foundations, flooring, peripheral wall, inner walls, ceiling, roof, windows, and doors—in terms of climate change; acidification; eutrophication; photochemical oxidation; depletion of abiotic elements and fossil fuels; and water scarcity categories within the system boundaries of the Product stage of the life cycle. The assessment was done using the SimaPro software and the ecoinvent database. The results pointed at the advantages of mass timber as a construction material and highlighted the significance in the type of insulation used. Foundations were found to bear the highest share of impact on photochemical oxidation reaching nearly 30% and depletion of fossil fuels accounting for about 25% of that impact. Peripheral wall was ranked the worst in terms of impact on acidification and eutrophication (more than 25% of both), depletion of elements (responsible for 50% of that impact), and had about 60% impact on water scarcity. After adding up carbon emissions and removals, the embodied impact of the whole construction on climate change was detected to be 8185.19 kg CO2 eq emissions which corresponded with 57.08 kg CO2 eq/m2 of gross internal area. A negative carbon composition of the construction was also set.",Construction materials | Embodied impact | Environmental impact | Life cycle assessment | Mass timber | Sus-tainability,4,1,publisherfullgold,Gold,APVV,VEGA 1/0717/19,Agentúra na Podporu Výskumu a Vývoja
2-s2.0-85112444692,10.1007/s00107-021-01742-x,,,Comparison of environmental impacts of structurally equivalent wood-based floors,ar,Article,Dias A.M.A.,60004956;60004235,"Instituto Superior Técnico;Universidade de Coimbra, Faculdade de Ciências e Tecnologia",Lisbon;Coimbra,Portugal;Portugal,4,"Dias, A. M.A.;Dias, A. M.P.G.;Silvestre, J. D.;de Brito, J.",57194149164;50760964400;57210155094;7003285554,60004235;60004235;60004956;60004956,2021-11-01,November 2021,European Journal of Wood and Wood Products,00183768,24993,1436736X,Journal,79,6,,1607-1622,"In recent years, in Europe, the use of wood-based products for structural solutions has increased, mainly because of the recent technological developments (e.g. development of products for high-rise buildings) and of the environmental benefits of wood-based products (e.g. carbon content of wood products). This study proposes a methodology based on life cycle assessment (LCA) approach to define a structurally equivalent functional unit for the comparison of the environmental impacts between wood-based solutions for building’s floors. The proposed methodology comprises five main steps: definition of the functional equivalence; definition of structural solutions; structural analysis; design of structural products; and calculation of the volume of structural products. This method was used to compare the environmental impacts from cradle-to-grave of structurally equivalent solutions for floors made of wood-based products with various strength and stiffness properties: solid wood (SW; softwoods and hardwoods); glued laminated timber (GLT); I-joists (IJ); and laminated veneer lumber (LVL). The results showed that, during the production stage, softwoods have the lowest environmental impact in the majority of the categories assessed. On the other hand, hardwoods (in particular D30) showed the best environmental performance during the entire life cycle. The discussion of results showed that the preliminary sizing rules have a high influence on the impacts of products with higher strength and stiffness properties. The results were compared per cubic meter and per structural solutions and showed that the products with higher strength and stiffness properties have a higher variation between the two results. The consideration of energy recovery at the end-of-life of products reduces the life-cycle environmental impacts of the structural solutions.",,0,0,,,FCT,PD/BD/135159/2017,Fundação para a Ciência e a Tecnologia
2-s2.0-85111040734,10.1016/j.jenvman.2021.113326,S0301479721013888,34314966,Recycling drainage effluents using reverse osmosis powered by photovoltaic solar energy in hydroponic tomato production: Environmental footprint analysis,ar,Article,Martin-Gorriz B.,60016818;60014907;116198836,Universidad de Almería;Universidad Politecnica de Cartagena;Sacyr Industrial,Almeria;Cartagena;Madrid,Spain;Spain;Spain,6,"Martin-Gorriz, B.;Maestre-Valero, J. F.;Gallego-Elvira, B.;Marín-Membrive, P.;Terrero, P.;Martínez-Alvarez, V.",57201813576;24332786800;24331653000;55948233600;57226271225;11839903900,60014907;60014907;60014907;60016818;116198836;60014907,2021-11-01,1 November 2021,Journal of Environmental Management,03014797,23371,10958630,Journal,297,,113326,,"Greenhouse cultivation in the Mediterranean region has undoubtedly enhanced the economic growth and has generated social benefits by making an efficient use of resources. However, these production systems caused undesirable environmental impacts. In order to move towards cleaner production in greenhouse areas, this study has assessed the potential environmental benefits and trade-offs of the integration of an on-farm reverse osmosis system powered by photovoltaic solar energy to recycle the drainage effluents from greenhouses. To that end, we compare the environmental footprint of a greenhouse tomato crop using this technology in a hydroponic system (HS), versus the conventional sanded soil ‘enarenado’ (CS) with free-drainage to soil. Additionally, for comparison, three independent irrigation sources (desalinated seawater with low electrical conductivity and two different mixes of underground and desalinated water, with moderate and high electrical conductivity, respectively) were evaluated. The use of desalinated seawater can help reduce the overexploitation of aquifers, although if the desalination process is not done with clean energy it also comes with a negative impact on the carbon footprint. Life Cycle Assessment (LCA) was used to analyse and evaluate six environmental impact indicators associated with these production systems and water treatments. In addition, a sensitivity analysis was conducted to explore the potential environmental benefits of increasing the use of renewable energy for desalinated water production, whilst also curbing the common over-fertilisation malpractice reported in the study area. Based on our findings, the HS with leachate treatment technology showed, compared to the CS system, a significant reduction in the eutrophication (72 %), although it did inevitably increase the depletion of fossil fuels (43 %) global warming (37 %) and acidification (32 %) impacts, due to the need for additional infrastructure and equipment. Among the inputs considered for the cultivation systems, the greenhouse structure, and the production of fertilisers and electricity for fertigation represented the highest environmental burdens. When comparing the three irrigation treatments, it was observed that the partial substitution of desalinated seawater by brackish groundwater substantially mitigated (27 %) the global warming footprint. The sensitivity analysis revealed that a significant reduction in the environmental impact is feasible.",Desalinated seawater | Environmental impact | Life cycle assessment | Soilless horticulture | Sustainable horticulture | Water recycling,10,1,repositoryvor,Green,EC,BEAGAL18/00081,European Commission
2-s2.0-85114386306,10.1016/j.jclepro.2021.128769,S095965262102967X,,Rethinking the carbon dioxide emissions of road sector: Integrating advanced vehicle technologies and construction supply chains mitigation options under decarbonization plans,ar,Article,Liu Y.,60028891;60007155;60001298;126842555,"Chang'an University;Guangdong University of Technology;Northwest University;CCCC First Highway Northwest Engineering CO.,LTD",Xi'an;Guangzhou;Xi'an;Xi'an,China;China;China;China,6,"Liu, Yuanyuan;Wang, Yuanqing;Lyu, Pu;Hu, Sangen;Yang, Liu;Gao, Gang",56924776600;56098300200;57225071895;55699912600;55733004700;57248897300,60007155;60028891;60028891;60007155;60001298;126842555,2021-10-25,25 October 2021,Journal of Cleaner Production,09596526,19167,,Journal,321,,128769,,"The single life cycle assessment on advanced vehicle technologies and clean construction supply chains offers the potential for reducing carbon dioxide emissions from vehicle operation and road infrastructure separately. However, the impact of the combination of these two aspects on CO2 emissions mitigation of road life cycle is less known even though it is critical to the longer-term road transportation decarbonization and long-range policy making for transportation sector, especially under latest worldwide net-zero carbon emission goal. In this study, taking a real project-level asphalt pavement freeway with 15-year life span in China as a case, the amount and hot spots of CO2 emissions of road transportation were evaluated by considering emissions abatement measures of advanced vehicle technologies and construction supply chains which are theoretically practicable in near-, mid-term and long-term future (from 2020 to 2035). Furthermore, a scenario-based sensitivity analysis on different increasing scope together with various increasing degree of abatement levels over time for these measures is provided. Results demonstrate that the timely implementation of combined decarbonation measures of advanced vehicle technologies and construction supply chains by 2035 could reduce 16.3% of total CO2 emissions from a road life cycle. In detail, for maintenance activities and use phase, total CO2 emissions reduce 32% and 16.2% separately. The construction equipment still is the top emissions contributor for maintenance activities. The hybrid electric vehicles (HEV), not battery electric vehicles (EV), replaces conventional internal combustion engine vehicles (ICEV) and becomes the largest source for passenger-related CO2 emissions from use phase by 2035. Findings are sensitive to assumptions regarding cleaner fuel-produced cement, construction equipment and asphalt, and the market penetration of new energy vehicle. The tight and accelerating pace of primary abatements assist in alleviating the infrastructure carbon lock-in effects caused by maintenance activities with 15% additional CO2 emissions saving, but not bring about a significant additional reduction (no more than 2.0%) for total road life cycle CO2 emissions. Current abatement measures are effective but obvious emissions mitigation substitutes of a road is still required, especially innovative road structure and cleaner supply chains inputs as well as deeper decarbonized electrified vehicle.",China | Highway | Life cycle assessment | Net-zero carbon emissions | Pavement maintenance | Use phase,10,0,,,NNSFC,51878062,National Natural Science Foundation of China
2-s2.0-85113918820,10.1016/j.jclepro.2021.128780,S0959652621029784,,Optimising flat plate buildings based on carbon footprint using Branch-and-Reduce deterministic algorithm,ar,Article,Trinh H.T.M.K.,60032987;60032624,Griffith University;University of Ulsan,Brisbane;Ulsan,Australia;South Korea,4,"Trinh, Hoang Tran Mai Kim;Chowdhury, Sanaul;Nguyen, Minh Tuong;Liu, Tingting",57210196989;7201666436;57239940800;55727714000,60032987;60032987;60032624;60032987,2021-10-20,20 October 2021,Journal of Cleaner Production,09596526,19167,,Journal,320,,128780,,"The construction industry has been identified as a significant contributor to the global environmental impacts. While Life Cycle Assessment and many environmental approaches as well as low-carbon materials are key areas of sustainable designs, optimisation methods have not been fully developed and integrated in the design process to enhance a building's sustainability. Although there are studies attempting to mitigate buildings' carbon footprints, most of them examine the major components (slab and column systems) separately, making it hard for structural engineers to apply their findings in a real project. This paper intends to address this limitation by introducing an innovative design methodology for the carbon optimisation of reinforced concrete buildings. A detailed formulation of a flat plate building's optimisation is presented, and an advanced Branch-and-Reduce deterministic algorithm is adopted to solve for minimum CO2 emissions. Compared to genetic algorithm, the proposed approach achieves a further 31% reduction in the building's embodied emissions. In this research, multiple case studies are optimised and analysed with respect to varying slab spans and numbers of stories. Overall, the optimisation algorithm performs more efficiently in buildings that are subjected to greater compressive loads, and the optimal designs tend to reduce the slab-to-column area ratio to obtain the best sustainable outcomes. Compared to the conventional designs, the optimised ones achieve 5.3–17.7% reduction in the total carbon emissions. From a correlation analysis, the column concrete strength, column size, and building's height are found to be the most significant design variables. Although the structural weight is closely related to the total embodied carbon in optimised buildings, solutions with greater material savings are not necessarily more environmentally superior. It is the balancing act between the design constraints, ratio of concrete and reinforcement consumption, and ratio of concrete and steel carbon coefficients that determines the most eco-friendly design option. Given a complex relation between design variables, a thorough optimisation problem and methodology as presented in this paper are highly effective and recommended in sustainable designs of concrete buildings. The obtained findings from the numerical applications could effectively guide structural designers towards sustainable design solutions that have the best environmental performance.",Embodied carbon | Flat plate building | Optimisation | Reinforced concrete structure | Structural design,5,0,,,,undefined,Griffith University
2-s2.0-85118313957,10.3389/fbuil.2021.745598,,,Enhancing the Practicality of Tools to Estimate the Whole Life Embodied Carbon of Building Structures via Machine Learning Models,ar,Article,Pomponi F.,60120004;60018186,Cambridge Institute for Sustainability Leadership;Edinburgh Napier University,Cambridge;Edinburgh,United Kingdom;United Kingdom,5,"Pomponi, Francesco;Anguita, Maria Luque;Lange, Michal;D’Amico, Bernardino;Hart, Emma",56496980900;57318144000;57318144100;55933555100;8339911500,60018186-60120004;60018186;60018186;60018186;60018186,2021-10-15,15 October 2021,Frontiers in Built Environment,,21100897005,22973362,Journal,7,,745598,,"The construction and operation of buildings account for significant environmental impacts, including greenhouse gas (GHG) emissions, energy demand, resource consumption and waste generation. While the operation of buildings is fairly well regulated and globally considered in the pathways to net-zero mid-century targets, a different picture emerges when looking at the other life cycle stages, which incur the so-called embodied impacts. These cover raw material extraction and product manufacturing through to construction and end of life activities. Only a handful of examples exist where such embodied carbon (EC) emissions are enshrined in law with most of the ongoing debate still around estimating and understanding where such emissions occur and how to mitigate them. Building structures account for a significant share of a building’s embodied emissions and they also are the building element with the longest service life, thus presenting potential lock-in challenges for choices made today. To support the ongoing global effort to mitigate embodied carbon and equip engineers and designers worldwide with easy-to-use and robust calculation tools, we describe a real-time decision-support tool to aid building design that leverages machine learning (ML) methods from computer science to speed-up the computationally expensive process of finite element analysis (FEA) traditionally exploited in structural engineering. We demonstrate that replacing FEA calculations with a model learnt using ML from a large dataset offers real time decision support while guaranteeing the same level of confidence and accuracy that a traditional FEA-based method would offer at the design stage. The tool has been developed both as a standalone version and as a plugin for Trimble SketchUp to maximise its usability and diffusion. It offers results correlated with uncertainty analysis in the form of probability density functions to account for the inherent variability of input data that characterises early stages in the design process. This research contributes to the ongoing global efforts to decarbonising the built environment and offers an immediately implementable method and tool for doing so.",embodied carbon | life cycle assesment | machine learning | sketchup | sustainable buildings and cities | tools,1,1,repositoryvor,Green,RAENG,IAPP18-19\215,Royal Academy of Engineering
2-s2.0-85109186750,10.1016/j.buildenv.2021.108112,S0360132321005138,,Comparative sustainability evaluation of two engineered wood-based construction materials: Life cycle analysis of CLT versus GLT,ar,Article,Balasbaneh A.T.,60090656;60011664,Universiti Tun Hussein Onn Malaysia;University of Wollongong,Batu Pahat;Wollongong,Malaysia;Australia,2,"Balasbaneh, Ali Tighnavard;Sher, Willy",57191634973;6602345805,60090656;60011664,2021-10-15,15 October 2021,Building and Environment,03601323,26874,,Journal,204,,108112,,"The environmental emissions and energy from construction activity and building materials contributes significantly to a building's sustainability. Previous research dealing with wood or engineering wood's energy requirements compared to reinforced concrete and steel structures has shown that embodied energy and embodied carbon is significantly lower in wood-based construction. This study has assessed the environmental impact and costs of glued laminated timber (GLT) or cross-laminated timber (CLT). Hardwood and softwood variants of both GLT and CLT were considered. We compared the life cycle costs (LCC) of these alternatives to discover the lowest cost. The comparative results indicated that GLT has higher emissions in Global warming potential (GWP), Terrestrial Ecotoxicity (TE), Land Use (LUP), and Ozone layer depletion (OLD), while CLT has higher impact in Human-Toxicity Potential (HTP), Fossil Depletion Potential (FDP). The results indicated that using CLT significantly reduces embodied energy by 40%. However, a comparison of costs showed that CLT is 7% more expensive than GLT. Establishing which material performs best based on environmental and economic criteria thus required further analysis. Thus, the multi-criteria decision making (MCDM) method was applied. This showed that CLT manufactured with softwood is the most sustainable choice among the alternatives considered. This study's findings are important for aggregate level decision making of different wood materials for residential buildings.",Cross laminated timber (CLT) | Glued laminated timber (GLT) | Life cycle assessment | Life cycle cost | Multi-attribute decision making | Sustainable constructions,28,0,,,,undefined,
2-s2.0-85113973567,10.1016/j.istruc.2020.12.013,S2352012420307323,,"Embodied carbon assessment using a dynamic climate model: Case-study comparison of a concrete, steel and timber building structure",ar,Article,Hawkins W.,60111769;60030480,Buro Happold Ltd;University of Bath,Bath;Bath,United Kingdom;United Kingdom,5,"Hawkins, Will;Cooper, Samuel;Allen, Stephen;Roynon, Jonathan;Ibell, Tim",57191580751;55520590800;23970015200;52763810100;6701430030,60030480;60030480;60030480;60111769;60030480,2021-10-01,October 2021,Structures,,21100372467,23520124,Journal,33,,,90-98,"The enormous environmental impact of construction is becoming increasingly apparent and unacceptable to many structural engineers, whose designs typically account for the majority of a building's embodied carbon. It is timely, therefore, that consensus is forming around a methodology for calculating embodied carbon. This encourages the inclusion of all life cycle stages, from material production and construction, through use and eventual demolition, disposal and reuse. In practice, however, end-of-life processes are fraught with uncertainty and often ignored, despite the potentially large associated carbon fluxes. Further uncertainty exists when considering bio-based construction materials, which store carbon during use. There are no widely-accepted means of accounting for timing of these carbon fluxes, despite the long service life of most buildings. Could we consider whole-life carbon in a more holistic and climate-focused way? This article uses dynamic life cycle assessment to convert greenhouse gas emission histories to key climate impacts using a simple dynamic model. The implications for structural design decisions are explored by comparing concrete, steel and timber options for a typical medium-rise building structure. Concrete is found to have a higher impact than steel, with the climate response of both options dominated by the large initial emissions of material production and construction. Timber has the smallest impact, for this example, under a typical scenario with sustainable forest management and re-emission of sequestered carbon at end-of-life. The analysis takes a forward-looking approach to sequestration, with timing corresponding to the growth of replanted trees. An optimistic timber scenario, whereby future carbon-capture technology avoids most end-of-life emissions, demonstrates the possibility of structures with small long-term climate cooling effects. Conversely, in a hypothetical worst-case scenario where no replanting or subsequent sequestration occurs, the long-term warming effect of the timber structure is increased by the net emission of biogenic carbon. Although end-of-life processes are important in the long-term, particularly for timber, the analysis also highlights the importance of the initial emissions from material production and construction. These cause high rates of short-term temperature increase and prolonged accumulation of radiative heat for all the buildings, but the impacts are again lowest for timber. Most importantly, the investigation shows how dynamic life cycle assessment can be used to explore climate impacts in a comprehensive, graphical and unbiased way. As a simple extension to established methodologies for calculating embodied carbon, it is a powerful decision making tool in the climate emergency.",Building design | Climate emergency | Embodied carbon | Life cycle assessment | Timber,28,0,repositoryam,Green,EPSRC,EP/S000771/1,Engineering and Physical Sciences Research Council
2-s2.0-85107807706,10.1007/s11069-021-04847-x,,,Life-cycle cost and sustainability analysis of light-frame wood residential communities exposed to tornados,ar,Article,Adhikari P.,60009226,Colorado State University,Fort Collins,United States,3,"Adhikari, Pramodit;Mahmoud, Hussam N.;Ellingwood, Bruce R.",57219230890;7102271752;7006160805,60009226;60009226;60009226,2021-10-01,October 2021,Natural Hazards,0921030X,23282,15730840,Journal,109,1,,523-544,"Tornadoes pose a significant threat to residential communities, causing enormous physical damage and losses to their social fabric. The dominant type of single-family residential buildings in the USA is light-frame wood construction, which is especially susceptible to tornado effects. Previous studies considering resilience of light-frame wood buildings have focused primarily on assessing damage, developing damage functions, and exploring different repair methods. Studies related to sustainability have focused mainly on environmental impacts or carbon usage. Practically all of these studies have been geared to assessment of individual buildings. In this study, we couple resilience and sustainability to evaluate their tradeoffs or alignments at the community level from a life-cycle stance. The life-cycle cost and carbon footprint are reflected in the construction and repair of damages due to the tornado hazard, as well as regular repair and maintenance that occurs during the life of the residence. Uncertainties in the randomness in tornado occurrence, size of the tornado footprint, and variation in wind speed intensities within the tornado footprint, and capacities of the building structure and envelope play a significant role in building performance and are considered. We explore a number of repair strategies that might be adopted at the community level in decision-making and policy formulation for homeowners, home builders and community planners. These strategies provide a framework for integrating minimum cost and carbon footprint objectives in risk-informed decision-making, a topic that appears to be lacking in the literature.",Community resilience | Fragility | Life-cycle analysis | Residential buildings | Sustainability | Tornadoes,1,0,,,NSF,1452725,National Science Foundation
