Origin_Index,Origin_DOI,position,id,doi,title,authors,authors_auid,authors_affiliationid,sourcetitle,publicationyear,coverDate,volume,issue,first,last,citedbycount,type,text,fulltext
1,10.1016/j.scs.2023.104636,11,85140902023,10.1016/j.buildenv.2022.109695,Dynamic LCA of the increased use of wood in buildings and its consequences: Integration of CO2 sequestration and material substitutions,"Cordier, S.; Blanchet, P.; Robichaud, F.; Amor, B.",,,Building and Environment,2022,,,,,,,,February,"Cordier, S., Blanchet, P., Robichaud, F., Amor, B., Dynamic LCA of the increased use of wood in buildings and its consequences: Integration of CO2 sequestration and material substitutions. Building and Environment, 226, 2022, 109695, 10.1016/j.buildenv.2022.109695 February."
1,10.1016/j.scs.2023.104636,12,85088650514,10.1016/j.scs.2020.102322,Comparison of environmental assessment methods when reusing building components: A case study,"De Wolf, C.; Hoxha, E.; Fivet, C.",,,Sustainable Cities and Society,2020,,,,,,,,June,"De Wolf, C., Hoxha, E., Fivet, C., Comparison of environmental assessment methods when reusing building components: A case study. Sustainable Cities and Society, 61, 2020, 102322, 10.1016/j.scs.2020.102322 June."
1,10.1016/j.scs.2023.104636,13,84873810259,10.1016/j.rser.2012.12.037,System boundary for embodied energy in buildings: A conceptual model for definition,"Dixit, M.K.; Culp, C.H.; Fernández-Solís, J.L.",,,Renewable and Sustainable Energy Reviews,2013,,,,,,,,,"Dixit, M.K., Culp, C.H., Fernández-Solís, J.L., System boundary for embodied energy in buildings: A conceptual model for definition. Renewable and Sustainable Energy Reviews 21 (2013), 153–164, 10.1016/j.rser.2012.12.037."
1,10.1016/j.scs.2023.104636,14,85098285274,10.1177/1744259120980027,Optimizing thermal insulation of external building walls in different climate zones in Libya,"Elmzughi, M.; Alghoul, S.; Mashena, M.",,,Journal of Building Physics,2021,,,,,,,,,"Elmzughi, M., Alghoul, S., Mashena, M., Optimizing thermal insulation of external building walls in different climate zones in Libya. Journal of Building Physics 45:3 (2021), 368–390, 10.1177/1744259120980027."
1,10.1016/j.scs.2023.104636,15,85118536357,10.1016/j.scs.2021.103521,A framework for dynamic life cycle sustainability assessment and policy analysis of built environment through a system dynamics approach,"Francis, A.; Thomas, A.",,,Sustainable Cities and Society,2022,,,,,,,,October 2021,"Francis, A., Thomas, A., A framework for dynamic life cycle sustainability assessment and policy analysis of built environment through a system dynamics approach. Sustainable Cities and Society, 76, 2022, 103521, 10.1016/j.scs.2021.103521 October 2021."
1,10.1016/j.scs.2023.104636,16,85119598064,10.1016/j.apenergy.2021.118141,Modelling long-term and short-term temporal variation and uncertainty of electricity production in the life cycle assessment of buildings,"Frapin, M.; Roux, C.; Assoumou, E.; Peuportier, B.",,,Applied Energy,2022,,,,,,,,October 2021,"Frapin, M., Roux, C., Assoumou, E., Peuportier, B., Modelling long-term and short-term temporal variation and uncertainty of electricity production in the life cycle assessment of buildings. Applied Energy, 307, 2022, 118141, 10.1016/j.apenergy.2021.118141 October 2021."
1,10.1016/j.scs.2023.104636,17,22644445221,10.1016/j.jclepro.2005.05.002,The ecoinvent database system: A comprehensive web-based LCA database,"Frischknecht, R.; Rebitzer, G.",,,Journal of Cleaner Production,2005,,,,,,,,,"Frischknecht, R., Rebitzer, G., The ecoinvent database system: A comprehensive web-based LCA database. Journal of Cleaner Production 13:13–14 (2005), 1337–1343, 10.1016/j.jclepro.2005.05.002."
1,10.1016/j.scs.2023.104636,18,85082330699,10.1016/j.scs.2020.102134,Upgrading New Zealand's existing office buildings – An assessment of life cycle impacts and its influence on 2050 climate change mitigation target,"Ghose, A.; McLaren, S.J.; Dowdell, D.",,,Sustainable Cities and Society,2020,,,,,,,,October 2019,"Ghose, A., McLaren, S.J., Dowdell, D., Upgrading New Zealand's existing office buildings – An assessment of life cycle impacts and its influence on 2050 climate change mitigation target. Sustainable Cities and Society, 57, 2020, 102134, 10.1016/j.scs.2020.102134 October 2019."
1,10.1016/j.scs.2023.104636,19,33749238010,10.1073/pnas.0606291103,Global temperature change,"Hansen, J.; Sato, M.; Ruedy, R.; Lo, K.; Lea, D.W.; Medina-Elizade, M.",,,Proceedings of the National Academy of Sciences of the United States of America,2006,,,,,,,,,"Hansen, J., Sato, M., Ruedy, R., Lo, K., Lea, D.W., Medina-Elizade, M., Global temperature change. Proceedings of the National Academy of Sciences of the United States of America 103:39 (2006), 14288–14293, 10.1073/pnas.0606291103."
1,10.1016/j.scs.2023.104636,20,85027927317,10.1016/j.jclepro.2014.08.004,Does it matter which Life Cycle Assessment (LCA) tool you choose? - A comparative assessment of SimaPro and GaBi,"Herrmann, I.T.; Moltesen, A.",,,Journal of Cleaner Production,2015,,,,,,,,,"Herrmann, I.T., Moltesen, A., Does it matter which Life Cycle Assessment (LCA) tool you choose? - A comparative assessment of SimaPro and GaBi. Journal of Cleaner Production 86 (2015), 163–169, 10.1016/j.jclepro.2014.08.004."
1,10.1016/j.scs.2023.104636,21,85141527652,10.1016/j.enbuild.2022.112637,Low-carbon assessment of building facades using dynamic CO2 intensity of electricity generation in Japan,"Hiyama, K.; Srisamranrungruang, T.",,,Energy and Buildings,2023,,,,,,,,,"Hiyama, K., Srisamranrungruang, T., Low-carbon assessment of building facades using dynamic CO2 intensity of electricity generation in Japan. Energy and Buildings, 278, 2023, 112637, 10.1016/j.enbuild.2022.112637."
1,10.1016/j.scs.2023.104636,22,85143486617,10.1016/j.scs.2022.104333,A look at residential building stock in the United States - mapping life cycle embodied carbon emissions and other environmental impact,"Hu, M.",,,Sustainable Cities and Society,2023,,,,,,,,June 2022,"Hu, M., A look at residential building stock in the United States - mapping life cycle embodied carbon emissions and other environmental impact. Sustainable Cities and Society, 89, 2023, 104333, 10.1016/j.scs.2022.104333 June 2022."
1,10.1016/j.scs.2023.104636,23,85158829419,,"System, the model and case of the life cycle assessment of building energy","Huang, Z.",,,,2003,,,,,,,,Tongji University,"Huang, Z., System, the model and case of the life cycle assessment of building energy. 2003, Tongji University."
1,10.1016/j.scs.2023.104636,24,85083885297,10.3390/SU12010351,Application of life cycle energy assessment in residential buildings: A critical review of recent trends,"Omrany, H.; Soebarto, V.; Sharifi, E.; Soltani, A.",,,Sustainability (Switzerland),2020,,,,,,,,,"Omrany, H., Soebarto, V., Sharifi, E., Soltani, A., Application of life cycle energy assessment in residential buildings: A critical review of recent trends. Sustainability (Switzerland), 12(1), 2020, 351, 10.3390/SU12010351."
1,10.1016/j.scs.2023.104636,25,85107883577,10.3390/buildings11060230,A comprehensive framework for standardising system boundary definition in life cycle energy assessments,"Omrany, H.; Soebarto, V.; Zuo, J.; Chang, R.",,,Buildings,2021,,,,,,,,,"Omrany, H., Soebarto, V., Zuo, J., Chang, R., A comprehensive framework for standardising system boundary definition in life cycle energy assessments. Buildings, 11(6), 2021, 230, 10.3390/buildings11060230."
1,10.1016/j.scs.2023.104636,26,85085212509,10.1016/j.enbuild.2020.110090,Embodied and operational energy and carbon emissions of passive building in HSCW zone in China: A case study,"Su, X.; Tian, S.; Shao, X.; Zhao, X.",,,Energy and Buildings,2020,,,,,,,,,"Su, X., Tian, S., Shao, X., Zhao, X., Embodied and operational energy and carbon emissions of passive building in HSCW zone in China: A case study. Energy and Buildings, 222, 2020, 110090, 10.1016/j.enbuild.2020.110090."
1,10.1016/j.scs.2023.104636,27,85136561618,10.1155/2022/4181715,Life cycle ecological footprint reduction for a tropical building,"Husain, D.; Prakash, R.; Ahmad, A.",,,Advances in Civil Engineering,2022,,,,,,,,,"Husain, D., Prakash, R., Ahmad, A., Life cycle ecological footprint reduction for a tropical building. Advances in Civil Engineering, 2022, 2022, 4181715, 10.1155/2022/4181715."
1,10.1016/j.scs.2023.104636,28,85069458362,,Perspectives for clean energy transition. the critical role of buildings,,,,,2019,,,,,,,,International Energy Agency,"IEA. Perspectives for clean energy transition. the critical role of buildings. 2019, International Energy Agency."
1,10.1016/j.scs.2023.104636,29,85158848336,,International organization of standardization. Environmental management—Life cycle assessment—Principles and framework,,,,,2006,,,,,,,,"ISO Geneva, Switzerland","ISO 14040. International organization of standardization. Environmental management—Life cycle assessment—Principles and framework. 2006, ISO, Geneva, Switzerland."
1,10.1016/j.scs.2023.104636,30,85073922649,10.1007/s11069-019-03796-w,"Energy transition, CO2 mitigation, and air pollutant emission reduction: Scenario analysis from IPAC model","Jiang, K.; Chen, S.; He, C.; Liu, J.; Kuo, S.; Hong, L.; Pianpian, X.",,,Natural Hazards,2019,,,,,,,,,"Jiang, K., Chen, S., He, C., Liu, J., Kuo, S., Hong, L., Pianpian, X., Energy transition, CO2 mitigation, and air pollutant emission reduction: Scenario analysis from IPAC model. Natural Hazards 99:3 (2019), 1277–1293, 10.1007/s11069-019-03796-w."
1,10.1016/j.scs.2023.104636,31,47649133780,10.1007/s12204-008-0257-7,Reflections on energy issues in China,"Jiang, Z.M.",,,Journal of Shanghai Jiaotong University (Science),2008,,,,,,,,,"Jiang, Z.M., Reflections on energy issues in China. Journal of Shanghai Jiaotong University (Science) 13:3 (2008), 257–274, 10.1007/s12204-008-0257-7."
1,10.1016/j.scs.2023.104636,32,85119283742,10.1016/j.scs.2021.103499,Developing buildings’ life cycle assessment in circular economy-comparing methods for assessing carbon footprint of reusable components,"Joensuu, T.; Leino, R.; Heinonen, J.; Saari, A.",,,Sustainable Cities and Society,2022,,,,,,,,July 2021,"Joensuu, T., Leino, R., Heinonen, J., Saari, A., Developing buildings’ life cycle assessment in circular economy-comparing methods for assessing carbon footprint of reusable components. Sustainable Cities and Society, 77, 2022, 103499, 10.1016/j.scs.2021.103499 July 2021."
1,10.1016/j.scs.2023.104636,33,85091213143,10.1016/j.scitotenv.2020.142063,Evaluation of sector-specific AWARE characterization factors for water scarcity footprint of electricity generation,"Karimpour, S.; Boulay, A.M.; Bulle, C.",,,Science of the Total Environment,2021,,,,,,,,,"Karimpour, S., Boulay, A.M., Bulle, C., Evaluation of sector-specific AWARE characterization factors for water scarcity footprint of electricity generation. Science of the Total Environment, 753, 2021, 142063, 10.1016/j.scitotenv.2020.142063."
1,10.1016/j.scs.2023.104636,34,78049444387,,Method and basic model for development of Chinese reference life cycle database,"Liu, X.; Wang, H.; Chen, J.; He, Q.; Hou, P.",,,Acta Scientiae Circumstantiae,2010,,,,,,,,,"Liu, X., Wang, H., Chen, J., He, Q., Hou, P., Method and basic model for development of Chinese reference life cycle database. Acta Scientiae Circumstantiae 30:10 (2010), 2136–2144."
1,10.1016/j.scs.2023.104636,35,85045612924,10.1111/jiec.12825,When the background matters: Using scenarios from integrated assessment models in prospective life cycle assessment,"Mendoza Beltran, A.; Cox, B.; Mutel, C.; van Vuuren, D.P.; Font Vivanco, D.; Deetman, S.; Tukker, A.",,,Journal of Industrial Ecology,2020,,,,,,,,,"Mendoza Beltran, A., Cox, B., Mutel, C., van Vuuren, D.P., Font Vivanco, D., Deetman, S., Tukker, A., When the background matters: Using scenarios from integrated assessment models in prospective life cycle assessment. Journal of Industrial Ecology 24:1 (2020), 64–79, 10.1111/jiec.12825."
1,10.1016/j.scs.2023.104636,36,85158852566,,China's energy development countermeasures under economic crisis,"Minxuan, C.",,,,2009,,,,,,,,"Social Sciences Academic Press Beijing, China","Minxuan, C., China's energy development countermeasures under economic crisis. 2009, Social Sciences Academic Press, Beijing, China."
1,10.1016/j.scs.2023.104636,37,85096001686,10.1016/j.apenergy.2020.116012,Multi-objective optimisations of envelope components for a prefabricated house in six climate zones,"Naji, S.; Aye, L.; Noguchi, M.",,,Applied Energy,2021,,,,,,,,,"Naji, S., Aye, L., Noguchi, M., Multi-objective optimisations of envelope components for a prefabricated house in six climate zones. Applied Energy, 282(PA), 2021, 116012, 10.1016/j.apenergy.2020.116012."
1,10.1016/j.scs.2023.104636,38,24644524127,10.1016/j.renene.2005.03.002,Dynamic life cycle assessment (LCA) of renewable energy technologies,"Pehnt, M.",,,Renewable Energy,2006,,,,,,,,,"Pehnt, M., Dynamic life cycle assessment (LCA) of renewable energy technologies. Renewable Energy 31:1 (2006), 55–71, 10.1016/j.renene.2005.03.002."
1,10.1016/j.scs.2023.104636,39,85127802249,10.1016/j.jobe.2022.104461,Life cycle assessment of a residential building in China accounting for spatial and temporal variations of electricity production,"Pei, L.; Schalbart, P.; Peuportier, B.",,,Journal of Building Engineering,2022,,,,,,,,March,"Pei, L., Schalbart, P., Peuportier, B., Life cycle assessment of a residential building in China accounting for spatial and temporal variations of electricity production. Journal of Building Engineering, 52, 2022, 104461, 10.1016/j.jobe.2022.104461 March."
1,10.1016/j.scs.2023.104636,40,85074952001,10.1007/s11367-019-01696-6,"A tool to operationalize dynamic LCA, including time differentiation on the complete background database","Pigné, Y.; Gutiérrez, T.N.; Gibon, T.; Schaubroeck, T.; Popovici, E.; Shimako, A.H.; Tiruta-Barna, L.",,,International Journal of Life Cycle Assessment,2020,,,,,,,,,"Pigné, Y., Gutiérrez, T.N., Gibon, T., Schaubroeck, T., Popovici, E., Shimako, A.H., Tiruta-Barna, L., A tool to operationalize dynamic LCA, including time differentiation on the complete background database. International Journal of Life Cycle Assessment 25:2 (2020), 267–279, 10.1007/s11367-019-01696-6."
1,10.1016/j.scs.2023.104636,41,84911001606,10.1007/s11367-014-0783-5,Temporal differentiation of background systems in LCA: Relevance of adding temporal information in LCI databases,"Pinsonnault, A.; Lesage, P.; Levasseur, A.; Samson, R.",,,International Journal of Life Cycle Assessment,2014,,,,,,,,,"Pinsonnault, A., Lesage, P., Levasseur, A., Samson, R., Temporal differentiation of background systems in LCA: Relevance of adding temporal information in LCI databases. International Journal of Life Cycle Assessment 19:11 (2014), 1843–1853, 10.1007/s11367-014-0783-5."
1,10.1016/j.scs.2023.104636,42,84879096860,10.1016/j.enbuild.2013.05.013,Life cycle assessment of a passive house in a seismic temperate zone,"Proietti, S.; Sdringola, P.; Desideri, U.; Zepparelli, F.; Masciarelli, F.; Castellani, F.",,,Energy and Buildings,2013,,,,,,,,,"Proietti, S., Sdringola, P., Desideri, U., Zepparelli, F., Masciarelli, F., Castellani, F., Life cycle assessment of a passive house in a seismic temperate zone. Energy and Buildings 64 (2013), 463–472, 10.1016/j.enbuild.2013.05.013."
1,10.1016/j.scs.2023.104636,43,84883459544,10.1016/j.jclepro.2013.05.038,Fifteen years of ISO 14040: A review,"Pryshlakivsky, J.; Searcy, C.",,,Journal of Cleaner Production,2013,,,,,,,,,"Pryshlakivsky, J., Searcy, C., Fifteen years of ISO 14040: A review. Journal of Cleaner Production 57 (2013), 115–123, 10.1016/j.jclepro.2013.05.038."
1,10.1016/j.scs.2023.104636,44,77955576090,10.1016/j.enbuild.2010.05.007,Life cycle energy analysis of buildings: An overview,"Ramesh, T.; Prakash, R.; Shukla, K.K.",,,Energy and Buildings,2010,,,,,,,,,"Ramesh, T., Prakash, R., Shukla, K.K., Life cycle energy analysis of buildings: An overview. Energy and Buildings 42:10 (2010), 1592–1600, 10.1016/j.enbuild.2010.05.007."
1,10.1016/j.scs.2023.104636,45,85103428056,10.1007/s11356-021-13614-1,Assessment models and dynamic variables for dynamic life cycle assessment of buildings: A review,"Su, S.; Zhang, H.; Zuo, J.; Li, X.; Yuan, J.",,,Environmental Science and Pollution Research,2021,,,,,,,,,"Su, S., Zhang, H., Zuo, J., Li, X., Yuan, J., Assessment models and dynamic variables for dynamic life cycle assessment of buildings: A review. Environmental Science and Pollution Research 28:21 (2021), 26199–26214, 10.1007/s11356-021-13614-1."
1,10.1016/j.scs.2023.104636,46,85101239442,10.1016/j.eiar.2021.106568,Dynamic global warming impact assessment integrating temporal variables: Application to a residential building in China,"Su, S.; Zhu, C.; Li, X.; Wang, Q.",,,Environmental Impact Assessment Review,2021,,,,,,,,February,"Su, S., Zhu, C., Li, X., Wang, Q., Dynamic global warming impact assessment integrating temporal variables: Application to a residential building in China. Environmental Impact Assessment Review, 88, 2021, 106568, 10.1016/j.eiar.2021.106568 February."
1,10.1016/j.scs.2023.104636,47,84942012230,10.1016/j.jclepro.2015.08.113,Life cycle inventory comparison of different building insulation materials and uncertainty analysis,"Su, X.; Luo, Z.; Li, Y.; Huang, C.",,,Journal of Cleaner Production,2016,,,,,,,,,"Su, X., Luo, Z., Li, Y., Huang, C., Life cycle inventory comparison of different building insulation materials and uncertainty analysis. Journal of Cleaner Production 112 (2016), 275–281, 10.1016/j.jclepro.2015.08.113."
1,10.1016/j.scs.2023.104636,48,71649084113,10.1016/j.enbuild.2009.08.015,Environmental performance optimization of window-wall ratio for different window type in hot summer and cold winter zone in China based on life cycle assessment,"Su, X.; Zhang, X.",,,Energy and Buildings,2010,,,,,,,,,"Su, X., Zhang, X., Environmental performance optimization of window-wall ratio for different window type in hot summer and cold winter zone in China based on life cycle assessment. Energy and Buildings 42:2 (2010), 198–202, 10.1016/j.enbuild.2009.08.015."
1,10.1016/j.scs.2023.104636,49,84995467078,10.1016/j.jclepro.2016.08.043,Temporal validation of life cycle greenhouse gas emissions of energy systems in China,"Su, X.; Zhang, X.",,,Journal of Cleaner Production,2016,,,,,,,,,"Su, X., Zhang, X., Temporal validation of life cycle greenhouse gas emissions of energy systems in China. Journal of Cleaner Production 139 (2016), 250–257, 10.1016/j.jclepro.2016.08.043."
1,10.1016/j.scs.2023.104636,50,0036533331,10.1016/S0360-1323(01)00033-6,"A low energy building in a life cycle - Its embodied energy, energy need for operation and recycling potential","Thormark, C.",,,Building and Environment,2002,,,,,,,,,"Thormark, C., A low energy building in a life cycle - Its embodied energy, energy need for operation and recycling potential. Building and Environment 37:4 (2002), 429–435, 10.1016/S0360-1323(01)00033-6."
1,10.1016/j.scs.2023.104636,51,84886290217,,European Reference Life Cycle Database (ELCD),"Wolf, M.-A.; Pennington, D.; Pant, R.; Wolf, K.; Pretato, U.",,,Database,2008,,,,,,,,"accessed on 10 December, 2022.","Wolf, M.-A., Pennington, D., Pant, R., Wolf, K., Pretato, U., European Reference Life Cycle Database (ELCD). Database, 2008, 1–30 https://eplca.jrc.ec.europa.eu/ELCD3/, accessed on 10 December, 2022."
1,10.1016/j.scs.2023.104636,52,84863099855,10.1007/s11367-011-0360-0,Erratum: Life cycle energy consumption and CO2 emission of an office building in China,"Wu, H.; Yuan, Z.; Zhang, L.; Bi, J.",,,International Journal of Life Cycle Assessment,2012,,,,,,,,,"Wu, H., Yuan, Z., Zhang, L., Bi, J., Erratum: Life cycle energy consumption and CO2 emission of an office building in China. International Journal of Life Cycle Assessment 17:2 (2012), 105–118, 10.1007/s11367-011-0360-0."
1,10.1016/j.scs.2023.104636,53,84922461036,10.1016/j.amc.2014.12.014,"Properties of the GM(1, 1) with fractional order accumulation","Wu, L.; Liu, S.; Fang, Z.; Xu, H.",,,Applied Mathematics and Computation,2015,,,,,,,,,"Wu, L., Liu, S., Fang, Z., Xu, H., Properties of the GM(1, 1) with fractional order accumulation. Applied Mathematics and Computation 252 (2015), 287–293, 10.1016/j.amc.2014.12.014."
1,10.1016/j.scs.2023.104636,54,41749092333,10.1016/j.enbuild.2007.10.016,Inventory analysis of LCA on steel- and concrete-construction office buildings,"Xing, S.; Xu, Z.; Jun, G.",,,Energy and Buildings,2008,,,,,,,,,"Xing, S., Xu, Z., Jun, G., Inventory analysis of LCA on steel- and concrete-construction office buildings. Energy and Buildings 40:7 (2008), 1188–1193, 10.1016/j.enbuild.2007.10.016."
1,10.1016/j.scs.2023.104636,55,85117402724,10.1016/j.apenergy.2021.118060,A bottom-up dynamic building stock model for residential energy transition: A case study for the Netherlands,"Yang, X.; Hu, M.; Tukker, A.; Zhang, C.; Huo, T.; Steubing, B.",,,Applied Energy,2022,,,,,,,,,"Yang, X., Hu, M., Tukker, A., Zhang, C., Huo, T., Steubing, B., A bottom-up dynamic building stock model for residential energy transition: A case study for the Netherlands. Applied Energy, 306(PA), 2022, 118060, 10.1016/j.apenergy.2021.118060."
1,10.1016/j.scs.2023.104636,56,84921044690,10.1016/j.eiar.2015.01.001,Temporal discounting in life cycle assessment: A critical review and theoretical framework,"Yuan, C.; Wang, E.; Zhai, Q.; Yang, F.",,,Environmental Impact Assessment Review,2015,,,,,,,,,"Yuan, C., Wang, E., Zhai, Q., Yang, F., Temporal discounting in life cycle assessment: A critical review and theoretical framework. Environmental Impact Assessment Review 51 (2015), 23–31, 10.1016/j.eiar.2015.01.001."
2,10.1016/j.cscm.2023.e02059,1,85069933206,10.1080/00038628.2018.1564646,Construction and demolition waste research: a bibliometric analysis,"Wu, H.; Zuo, J.; Zillante, G.; Wang, J.; Yuan, H.",,,Arch. Sci. Rev.,2019,,,,,,,,,"Wu, H., Zuo, J., Zillante, G., Wang, J., Yuan, H., Construction and demolition waste research: a bibliometric analysis. Arch. Sci. Rev. 62 (2019), 354–365, 10.1080/00038628.2018.1564646."
2,10.1016/j.cscm.2023.e02059,2,85071536701,10.1016/j.jclepro.2019.118163,Status quo and future directions of construction and demolition waste research: A critical review,"Wu, H.; Zuo, J.; Zillante, G.; Wang, J.; Yuan, H.",,,J. Clean. Prod.,2019,,,,,,,,,"Wu, H., Zuo, J., Zillante, G., Wang, J., Yuan, H., Status quo and future directions of construction and demolition waste research: A critical review. J. Clean. Prod., 240, 2019, 118163, 10.1016/j.jclepro.2019.118163."
2,10.1016/j.cscm.2023.e02059,3,84966425152,10.1007/s12665-016-5631-4,Influences of various construction and demolition materials on the behavior of a clay,"Cabalar, A.F.; Abdulnafaa, M.D.; Karabash, Z.",,,Environ. Earth Sci.,2016,,,,,,,,,"Cabalar, A.F., Abdulnafaa, M.D., Karabash, Z., Influences of various construction and demolition materials on the behavior of a clay. Environ. Earth Sci., 75, 2016, 841, 10.1007/s12665-016-5631-4."
2,10.1016/j.cscm.2023.e02059,4,79955712670,10.1016/j.jclepro.2011.03.012,An environmental evaluation of geopolymer based concrete production: Reviewing current research trends,"Habert, G.; D'Espinose De Lacaillerie, J.B.; Roussel, N.; d'Espinose de Lacaillerie, J.B.; Roussel, N.",,,J. Clean. Prod.,2011,,,,,,,,,"Habert, G., D'Espinose De Lacaillerie, J.B., Roussel, N., d'Espinose de Lacaillerie, J.B., Roussel, N., An environmental evaluation of geopolymer based concrete production: Reviewing current research trends. J. Clean. Prod. 19 (2011), 1229–1238, 10.1016/j.jclepro.2011.03.012."
2,10.1016/j.cscm.2023.e02059,5,85088608151,10.1016/j.egyr.2019.09.010,Valorization of biomass ash in biogas technology: Opportunities and challenges,"Alavi-Borazjani, S.A.; Capela, I.; Tarelho, L.A.C.",,,Energy Rep.,2020,,,,,,,,,"Alavi-Borazjani, S.A., Capela, I., Tarelho, L.A.C., Valorization of biomass ash in biogas technology: Opportunities and challenges. Energy Rep. 6 (2020), 472–476, 10.1016/j.egyr.2019.09.010."
2,10.1016/j.cscm.2023.e02059,6,76749084740,10.1016/j.jclepro.2009.12.014,Environmental impact of cement production: detail of the different processes and cement plant variability evaluation,"Chen, C.; Habert, G.; Bouzidi, Y.; Jullien, A.",,,J. Clean. Prod.,2010,,,,,,,,,"Chen, C., Habert, G., Bouzidi, Y., Jullien, A., Environmental impact of cement production: detail of the different processes and cement plant variability evaluation. J. Clean. Prod. 18 (2010), 478–485, 10.1016/j.jclepro.2009.12.014."
